Date,BOVA11.SA,SMAL11.SA,IVVB11.SA,PETR4.SA,VALE3.SA,ITUB4.SA,SPY,QQQ,IWM,EEM,GLD,TLT,BTC-USD,ETH-USD,BNB-USD,SOL-USD,ADA-USD
2015-01-01,,,,,,,,,,,,,314.2489929199219,,,,
2015-01-02,47.2599983215332,52.02000045776367,55.79999923706055,2.5725090503692627,10.505501747131348,9.37299919128418,171.0937042236328,94.90653228759766,103.31513977050781,30.789457321166992,114.08000183105469,95.46895599365234,315.0320129394531,,,,
2015-01-03,,,,,,,,,,,,,281.0820007324219,,,,
2015-01-04,,,,,,,,,,,,,264.19500732421875,,,,
2015-01-05,46.31999969482422,50.54999923706055,55.75,2.3526365756988525,10.34752082824707,9.420101165771484,168.0037841796875,93.51439666748047,101.9338607788086,30.24148941040039,115.80000305175781,96.96861267089844,274.4739990234375,,,,
2015-01-06,46.58000183105469,50.0,54.849998474121094,2.2756807804107666,10.762212753295898,9.572488784790039,166.42138671875,92.2605209350586,100.17040252685547,30.114421844482422,117.12000274658203,98.71569061279297,286.1889953613281,,,,
2015-01-07,48.150001525878906,51.25,55.16999816894531,2.382869005203247,11.157156944274902,9.91881275177002,168.4951934814453,93.4498291015625,101.40397644042969,30.765626907348633,116.43000030517578,98.52074432373047,294.3370056152344,,,,
2015-01-08,48.5099983215332,52.0,55.79999923706055,2.5367798805236816,11.275641441345215,10.073969841003418,171.485107421875,95.23845672607422,103.12399291992188,31.289772033691406,115.94000244140625,97.21603393554688,283.3489990234375,,,,
2015-01-09,47.529998779296875,51.0,54.75,2.6137351989746094,11.033737182617188,9.633440971374512,170.1108856201172,94.61150360107422,102.1336669921875,31.186525344848633,117.26000213623047,98.28080749511719,290.4079895019531,,,,
2015-01-10,,,,,,,,,,,,,274.7959899902344,,,,
2015-01-11,,,,,,,,,,,,,265.6600036621094,,,,
2015-01-12,46.83000183105469,49.75,54.849998474121094,2.4295926094055176,11.176904678344727,9.400703430175781,168.77833557128906,93.6250228881836,101.79486846923828,30.932405471801758,118.55999755859375,98.84317779541016,267.7959899902344,,,,
2015-01-13,46.63999938964844,49.7599983215332,54.0,2.4983022212982178,11.112725257873535,9.389623641967773,168.30360412597656,93.59734344482422,101.87306213378906,31.202417373657227,118.16000366210938,98.84317779541016,225.86099243164062,,,,
2015-01-14,46.47999954223633,49.04999923706055,53.099998474121094,2.448831081390381,10.219165802001953,9.453350067138672,167.2875213623047,93.0810775756836,101.46479034423828,31.027700424194336,117.97000122070312,99.59304809570312,178.10299682617188,,,,
2015-01-15,47.0,49.11000061035156,53.56999969482422,2.5587668418884277,10.337650299072266,9.370232582092285,165.7550811767578,91.873291015625,99.75342559814453,31.09917640686035,120.94000244140625,101.16023254394531,209.843994140625,,,,
2015-01-16,47.599998474121094,50.099998474121094,53.45000076293945,2.594496250152588,10.801709175109863,9.514307975769043,167.92884826660156,92.95201110839844,101.37787628173828,31.36124610900879,122.5199966430664,99.87052154541016,208.0970001220703,,,,
2015-01-17,,,,,,,,,,,,,199.25999450683594,,,,
2015-01-18,,,,,,,,,,,,,210.33900451660156,,,,
2015-01-19,46.310001373291016,48.90999984741211,53.81999969482422,2.520289897918701,10.688162803649902,9.170748710632324,,,,,,,214.86099243164062,,,,
2015-01-20,46.52000045776367,48.86000061035156,53.31999969482422,2.5587668418884277,10.732593536376953,9.20122241973877,168.28700256347656,93.6895751953125,100.95222473144531,31.3135929107666,124.19999694824219,101.19772338867188,211.31500244140625,,,,
2015-01-21,47.810001373291016,49.75,53.58000183105469,2.7209229469299316,10.900444984436035,9.472744941711426,169.13648986816406,94.16898345947266,100.63084411621094,32.00450897216797,124.2300033569336,100.02798461914062,226.89700317382812,,,,
2015-01-22,48.119998931884766,49.900001525878906,53.400001525878906,2.8116202354431152,10.81651782989502,9.519843101501465,171.6517333984375,95.91146850585938,102.68095397949219,32.61601257324219,125.2300033569336,99.66801452636719,233.406005859375,,,,
2015-01-23,47.29999923706055,49.369998931884766,53.93000030517578,2.742910146713257,10.130306243896484,9.428417205810547,170.71060180664062,96.12350463867188,102.61148834228516,32.36982345581055,124.2300033569336,101.05522155761719,232.87899780273438,,,,
2015-01-24,,,,,,,,,,,,,247.8470001220703,,,,
2015-01-25,,,,,,,,,,,,,253.71800231933594,,,,
2015-01-26,47.189998626708984,48.349998474121094,53.79999923706055,2.701683759689331,9.66624641418457,9.539237022399902,171.11033630371094,96.01290130615234,103.601806640625,32.38570022583008,122.98999786376953,100.74778747558594,273.4729919433594,,,,
2015-01-27,47.34000015258789,48.290000915527344,53.13999938964844,2.7868845462799072,9.379913330078125,9.503228187561035,168.85330200195312,93.52360534667969,103.10664367675781,32.21099090576172,124.4000015258789,100.90523529052734,263.4750061035156,,,,
2015-01-28,46.33000183105469,47.63999938964844,53.20000076293945,2.5037994384765625,9.325606346130371,9.30927848815918,166.68788146972656,93.044189453125,101.36920166015625,31.861555099487305,123.41999816894531,102.5549087524414,233.9149932861328,,,,
2015-01-29,46.380001068115234,47.709999084472656,53.36000061035156,2.382869005203247,8.910916328430176,9.24555492401123,168.22865295410156,93.9384765625,102.7678451538086,31.861555099487305,120.76000213623047,101.88001251220703,233.51300048828125,,,,
2015-01-30,45.61000061035156,46.790000915527344,54.70000076293945,2.2811782360076904,9.1873779296875,9.11533260345459,166.1132354736328,93.21012115478516,100.50920867919922,30.987991333007812,123.44999694824219,103.68716430664062,226.4250030517578,,,,
2015-01-31,,,,,,,,,,,,,217.46400451660156,,,,
2015-02-01,,,,,,,,,,,,,226.9720001220703,,,,
